pratique/SE fournit par ecosystème,potentiel récréatif sans prélèvement,esthétisme des paysages ,alimentation humaine ,alimentation animale,fourniture de bois et autres matériaux forestiers,regulation de la bonne qualité de l'eau et épuration,régulation du climat global,conservation des sols (érosion),gestion des incendies,régulation des espèces,régulation du climat local,Régénération forêt 
pâturage,0,,0,1,-1,,,,1,,,0
protection du troupeau,-1,,-1,,,,,,,-1,,
circulation animaux,,,,,,,,-1,,,,1
broyage,,,,0,,,,,,,,
randonnée /vélo,,,,,1,,,,,,,
mise en défens régénération forêt,,,,,1,,,,,,,1
Mise en place d'amménagements pour limiter les incendies,,,,,1,,,,,1,,
exploitation bois,,1,1,-1,,-1,,,,-1,,
chasse,1,,,,1,,,,,1,,1
préservation faune sauvage et habitat sensible ,,,,0,-1,,,,,,,
présence loup,,,,-1,,,,,,-1,,
